number,country
1,Afghanistan
2,Albania
3,Algeria
4,Andorra
5,Angola
6,Antigua and Barbuda
7,Argentina
8,Australia
9,Austria
10,Azerbaijan
11,Bahamas
12,Bahrain
13,Bangladesh
14,Barbados
15,Belarus
16,Belgium
17,Belize
18,Benin
19,Bhutan
20,Bolivia (Plurinational State of)
21,Bosnia and Herzegovina
22,Botswana
23,Brazil
24,Brunei Darussalam
25,Bulgaria
26,Burkina Faso
27,Burundi
28,Cabo Verde
29,Cambodia
30,Cameroon
31,Canada
32,Central African Republic
33,Chad
34,China
35,Colombia
36,Comoros
37,Congo
38,Costa Rica
39,Cote d’Ivoire
40,Croatia
41,Cuba
42,Cyprus
43,Czech Republic
44,Democratic People’s Republic of Korea
45,Democratic Republic of Congo
46,Denmark
47,Djibouti
48,Dominica
49,Dominican Republic
50,Egypt
51,El Salvador
52,Equatorial Guinea
53,Eritrea
54,Estonia
55,Ethiopia
56,European Union
57,Fiji
58,Finland
59,France
60,Gabon
61,Georgia
62,Germany
63,Ghana
64,Greece
65,Grenada
66,Guatemala
67,Guinea
68,Guinea Bissau
69,Guyana
70,Haiti
71,Honduras
72,Hungary
73,Iceland
74,India
75,Indonesia
76,Iran (Islamic Republic of)
77,Ireland
78,Israel
79,Italy
80,Jamaica
81,Japan
82,Jordan
83,Kenya
84,Kiribati
85,Kuwait
86,Lao People’s Democratic Republic
87,Latvia
88,Lebanon
89,Lesotho
90,Liberia
91,Libya
92,Liechtenstein
93,Lithuania
94,Luxembourg
95,Madagascar
96,Malaysia
97,Maldives
98,Mali
99,Malta
100,Marshall Islands
101,Mauritius
102,Mauritania
103,Mexico
104,Micronesia (Federated States of)
105,Monaco
106,Mongolia
107,Montenegro
108,Morocco
109,Mozambique
110,Myanmar
111,Namibia
112,Nauru
113,Nepal
114,Netherlands
115,New Zealand
116,Niger
117,Norway
118,Oman
119,Pakistan
120,Palau
121,Panama
122,Papua New Guinea
123,Paraguay
124,Peru
125,Philippines
126,Poland
127,Portugal
128,Qatar
129,Republic of Korea
130,Romania
131,Russian Federation
132,Rwanda
133,Saint Kitts and Nevis
134,Saint Lucia
135,Saint Vincent and the Grenadines
136,Samoa
137,San Marino
138,Sao Tome and Principe
139,Senegal
140,Serbia
141,Singapore
142,Slovakia
143,Slovenia
144,Solomon Islands
145,Somalia
146,South Africa
147,South Sudan
148,Spain
149,Sri Lanka
150,State of Palestine
151,Sudan
152,Suriname
153,Swaziland
154,Sweden
155,Switzerland
156,Tajikistan
157,Thailand
158,The Former Yugoslav Republic of Macedonia
159,Timor-Leste
160,Tonga
161,Trinidad and Tobago
162,Tunisia
163,Turkey
164,Tuvalu
165,Uganda
166,Ukraine
167,United Arab Emirates
168,United Kingdom
169,United Republic of Tanzania
170,United States of America
171,Uruguay
172,Vanuatu
173,Venezuela (Bolivarian Republic of)
174,Viet Nam
175,Zimbabwe
